,review,label,count,review_nostop,nostop_count
2658,i highly doubt that anyone could ever like this trash  ,0,10,highly doubt anyone could ever like trash,7
2659,this is not moviemaking  ,0,4,moviemaking,1
2660,the acting is like watching wooden puppets moving around and reading from a book thats how bad it is  ,0,19,acting like watching wooden puppets moving around reading book thats bad,11
2661,so i am here to warn youdo not rent this movie it is the dumbest thing you have never seen  ,0,20,warn youdo rent movie dumbest thing never seen,8
2662,i saw this short film on hbo the other day and absolutely loved it  ,1,14,saw short film hbo day absolutely loved,7
2663,i didnt realize how wonderful the short really is until the last two scenes  ,1,14,didnt realize wonderful short really last two scenes,8
2664,excellent short film  ,1,3,excellent short film,3
2665,hopefully the director james cox can turn the short into a feature length film with the same cast or win us over with a whole new film  ,1,27,hopefully director james cox turn short feature length film cast win us whole new film,15
2666,i agree with jessica this movie is pretty bad  ,0,9,agree jessica movie pretty bad,5
2667,characters are onedimensional even the good guys and especially the bad guys  ,0,12,characters onedimensional even good guys especially bad guys,8
2668,the story line is totally predictable  ,0,6,story line totally predictable,4
2669,not much dialogue not much music the whole film was shot as elaborately and aesthetically like a sculpture  ,1,18,much dialogue much music whole film shot elaborately aesthetically like sculpture,11
2670,ive seen soap operas more intelligent than this movie  ,0,9,ive seen soap operas intelligent movie,6
2671,bad characters bad story and bad acting  ,0,7,bad characters bad story bad acting,6
2672,really awful  ,0,2,really awful,2
2673,not easy to watch  ,0,4,easy watch,2
2674,funny clever hip  just like prays previous film hype  ,1,9,funny clever hip like prays previous film hype,8
2675,it was a long time that i didnt see a so charismatic actor on screen  ,1,15,long time didnt see charismatic actor screen,7
2676,paolo sorrentino has written a wonderful story about loneliness and tony has built one of the most unforgettable characters seen in movies in recent years  ,1,25,paolo sorrentino written wonderful story loneliness tony built one unforgettable characters seen movies recent years,15
2677,the movie is not completely perfect but titta di girolamo will stay with you for a long time after the vision of the movie  ,1,24,movie completely perfect titta di girolamo stay long time vision movie,11
2678,i rate this movie   ,1,4,rate movie,2
2679,i do not know if this was emilio estevezs directorial debut but the pacing the interplay and development of the characters as well as some clever camera work surrounding the character estevez plays all suggest a natural eye  ,1,38,know emilio estevezs directorial debut pacing interplay development characters well clever camera work surrounding character estevez plays suggest natural eye,20
2680,the interplay between martin and emilio contains the same wonderful chemistry we saw in wall street with martin and charlie  ,1,20,interplay martin emilio contains wonderful chemistry saw wall street martin charlie,11
2681,kathy bates is wonderful in her characters subtle desperation and escapism a variation on her character in at play in the fields of the lord  ,1,25,kathy bates wonderful characters subtle desperation escapism variation character play fields lord,12
2682,for readers who have already seen one of miyazakis films he is still in top form and made another worthwhile experience  ,1,21,readers already seen one miyazakis films still top form made another worthwhile experience,13
2683,it never condescends all the characters have good genuine hearts and believable problems  ,1,13,never condescends characters good genuine hearts believable problems,8
2684,the two main characters may be two of the most believable children i ever saw put on screen  ,1,18,two main characters may two believable children ever saw put screen,11
2685,they are so easy to love but even more easy to identify with  ,1,13,easy love even easy identify,5
2686,this movie is greatespecially if you enjoy visual arts  ,1,9,movie greatespecially enjoy visual arts,5
2687,the scenery that the two daughters paint and photograph are beautiful  ,1,11,scenery two daughters paint photograph beautiful,6
2688,the story is also both funny and poignant at times  ,1,10,story also funny poignant times,5
2689,people who like european films and art movies will like this movie  ,1,12,people like european films art movies like movie,8
2690,this is truly an art movieit actually has a lot of art in it  ,1,14,truly art movieit actually lot art,6
2691,go rent it  ,1,3,go rent,2
2692,however after finally watching this film i realized that not only had i had a closed mind to the brilliance it depicts i also found myself watching it over and over again  ,1,32,however finally watching film realized closed mind brilliance depicts also found watching,12
2693,its the one movie that never ceases to interest me simply because it keeps me alert as i try to attempt to decipher its meanings  ,1,25,one movie never ceases interest simply keeps alert try attempt decipher meanings,12
2694,brilliance indeed  ,1,2,brilliance indeed,2
2695,but if you liked movies like the matrix and better yet their sequels i think youll appreciate the thought provoking mindblowing experience this film will give you  ,1,27,liked movies like matrix better yet sequels think youll appreciate thought provoking mindblowing experience film give,16
2696,think of the film being like a dream  ,1,8,think film like dream,4
2697,simply beautiful  ,1,2,simply beautiful,2
2698,both rickman and stowe play their roles to the hilt in this tale of a childrens book writer who maybe has written a subversive tract  ,1,25,rickman stowe play roles hilt tale childrens book writer maybe written subversive tract,13
2699,its a gloriously fun fast paced and fairly accurate portrayal of the night of a raver  ,1,16,gloriously fun fast paced fairly accurate portrayal night raver,9
2700,it presents a idyllic yet serious portrayal of the ups and downs of the characters lives  ,1,16,presents idyllic yet serious portrayal ups downs characters lives,9
2701,just whatever you do avoid groove as its the antithesis of all that is good about human traffic  ,0,18,whatever avoid groove antithesis good human traffic,7
2702,its too bad that everyone else involved didnt share crowes level of dedication to quality for if they did wed have a far better film on our hands than this subpar mess  ,0,32,bad everyone else involved didnt share crowes level dedication quality wed far better film hands subpar mess,17
2703,the movie seemed a little slow at first  ,0,8,movie seemed little slow first,5
2704,but it picked up speed and got right to the point  ,1,11,picked speed got right point,5
2705,it showed exactly how the government and the scientist argued for humanity and the reasons of the gadget  ,1,18,showed exactly government scientist argued humanity reasons gadget,8
2706,i enjoyed it  ,1,3,enjoyed,1
2707,i have recommended it to friends  ,1,6,recommended friends,2
2708,i was particularly pleased with the acting ability of dwight schultz  ,1,11,particularly pleased acting ability dwight schultz,6
2709,both actors truly understand and become their particular character delivering a convincing sincere performance  ,1,14,actors truly understand become particular character delivering convincing sincere performance,10
2710,their onscreen chemistry critical to the entire film is genuine  ,1,10,onscreen chemistry critical entire film genuine,6
2711,the films dialogue is natural real to life  ,1,8,films dialogue natural real life,5
2712,the writer gorman bechard undoubtedly did his homework because all references are industry and characterage appropriate  ,1,16,writer gorman bechard undoubtedly homework references industry characterage appropriate,9
2713,the incredible soundtrack truly captures the essence of the film  ,1,10,incredible soundtrack truly captures essence film,6
2714,each track commands sentiment actually contributing to the scenes and characters  ,1,11,track commands sentiment actually contributing scenes characters,7
2715,definitely worth seeingö its the sort of thought provoking film that forces you to question your own threshold of loneliness  ,1,20,definitely worth seeingö sort thought provoking film forces question threshold loneliness,11
2716,hayao miyazakis latest and eighth film for studio ghibili gake no ue no ponyo ponyo on the cliff by the sea is a wonderfully fun and imaginative look at childhood  ,1,30,hayao miyazakis latest eighth film studio ghibili gake ue ponyo ponyo cliff sea wonderfully fun imaginative look childhood,18
2717,at a time when it seems that film animation has been dominated by disneypixars cgi masterpieces it is both refreshing and comforting to know that miyazaki is still relying on traditional handdrawn animation to tell his charming and enchanting stories  ,1,40,time seems film animation dominated disneypixars cgi masterpieces refreshing comforting know miyazaki still relying traditional handdrawn animation tell charming enchanting stories,21
2718,enough can not be said of the remarkable animation in this film  ,1,12,enough said remarkable animation film,5
2719,the art style has the appearance of crayonpencil drawings and is wonderfully colorful and fanciful  ,1,15,art style appearance crayonpencil drawings wonderfully colorful fanciful,8
2720,if you act in such a film you should be glad that youre gonna drift away from earth as far as possible  ,0,22,act film glad youre gonna drift away earth far possible,10
2721,this one wants to surf on the small wave of space movies in  deep impact and armageddon and this one fails everywhere  ,0,22,one wants surf small wave space movies deep impact armageddon one fails everywhere,13
2722,if you havent choked in your own vomit by the end by all the cheap drama and worthless dialogue youve must have bored yourself to death with this waste of time  ,0,31,havent choked vomit end cheap drama worthless dialogue youve must bored death waste time,14
2723,still it makes up for all of this with a super ending that depicts a great sea vessel being taken out by the mighty frost  ,1,25,still makes super ending depicts great sea vessel taken mighty frost,11
2724,just consider the excellent story solid acting and look of the film as added bonuses  ,1,15,consider excellent story solid acting look film added bonuses,9
2725,instead we got a bore fest about a whiny spoiled brat babysitting  ,0,12,instead got bore fest whiny spoiled brat babysitting,8
2726,then i watched it again two sundays ago march th  and i began to really enjoy it and this time i taped the entire thing  ,1,25,watched two sundays ago march th began really enjoy time taped entire thing,13
2727,it is a very well acted and done tv movie  ,1,10,well acted done tv movie,5
2728,judith light is one of my favorite actresses and i think she does a superb job in this film  ,1,19,judith light one favorite actresses think superb job film,9
2729,i keep watching it over and over  ,1,7,keep watching,2
2730,its a sad movie but very good  ,1,7,sad movie good,3
2731,if you have not seen this movie i definitely recommend it  ,1,11,seen movie definitely recommend,4
2732,she is as lovely as usual this cutie  ,1,8,lovely usual cutie,3
2733,still its quite interesting and entertaining to follow  ,1,8,still quite interesting entertaining follow,5
2734, recommend with confidence  ,1,3,recommend confidence,2
2735,this movie is wellbalanced with comedy and drama and i thoroughly enjoyed myself  ,1,13,movie wellbalanced comedy drama thoroughly enjoyed,6
2736,it was a riot to see hugo weaving play a sexobsessed gay real estate salesman who uses his clients houses for his trysts with the flaming darren tom hollander  ,1,29,riot see hugo weaving play sexobsessed gay real estate salesman uses clients houses trysts flaming darren tom hollander,18
2737, anyway the plot flowed smoothly and the malebonding scenes were a hoot  ,1,12,anyway plot flowed smoothly malebonding scenes hoot,7
2738,the opening sequence of this gem is a classic and the cat n mouse games that follow are a delight to watch  ,1,22,opening sequence gem classic cat n mouse games follow delight watch,11
2739,fans of the genre will be in heaven  ,1,8,fans genre heaven,3
2740,lange had become a great actress  ,1,6,lange become great actress,4
2741,it looked like a wonderful story  ,1,6,looked like wonderful story,4
2742,i never walked out of a movie faster  ,0,8,never walked movie faster,4
2743,i just got bored watching jessice lange take her clothes off  ,0,11,got bored watching jessice lange take clothes,7
2744,unfortunately any virtue in this films production work was lost on a regrettable script  ,0,14,unfortunately virtue films production work lost regrettable script,8
2745,in a word it is embarrassing  ,0,6,word embarrassing,2
2746,exceptionally bad  ,0,2,exceptionally bad,2
2747,all in all its an insult to ones intelligence and a huge waste of money  ,0,15,insult ones intelligence huge waste money,6
2748,ray charles is legendary  ,1,4,ray charles legendary,3
2749,ray charles life provided excellent biographical material for the film which goes well beyond being just another movie about a musician ,1,21,ray charles life provided excellent biographical material film goes well beyond another movie musician,14
2750,hitchcock is a great director ,1,5,hitchcock great director,3
2751,ironically i mostly find his films a total waste of time to watch  ,0,13,ironically mostly find films total waste time watch,8
2752,secondly hitchcock pretty much perfected the thriller and chase movie  ,1,10,secondly hitchcock pretty much perfected thriller chase movie,8
2753,its this pandering to the audience that sabotages most of his films ,0,12,pandering audience sabotages films,4
2754,hence the whole story lacks a certain energy  ,0,8,hence whole story lacks certain energy,6
2755,the plot simply rumbles on like a machine desperately depending on the addition of new scenes ,0,16,plot simply rumbles like machine desperately depending addition new scenes,10
2756,there are the usual hitchcock logic flaws,0,7,usual hitchcock logic flaws,4
2757,mishima is extremely uninteresting ,0,4,mishima extremely uninteresting,3
2758,this is a chilly unremarkable movie about an author livingworking in a chilly abstruse culture ,0,15,chilly unremarkable movie author livingworking chilly abstruse culture,8
2759,the flat reenactments dont hold your attention because they are emotionally adrift and stagy  ,0,14,flat reenactments dont hold attention emotionally adrift stagy,8
2760,and the rest of it just sits there being awful with soldiers singing songs about the masculinity they pledge themselves to hairsplitting about purity the admiration of swords etc ,0,29,rest sits awful soldiers singing songs masculinity pledge hairsplitting purity admiration swords etc,13
2761,he can bore you to pieces and kill the momentum of a movie quicker than anyone else ,0,17,bore pieces kill momentum movie quicker anyone else,8
2762,schrader has made a resume full of lousy amateurish films  ,0,10,schrader made resume full lousy amateurish films,7
2763,when i first watched this movie in the s i loved it,1,12,first watched movie loved,4
2764,i was totally fascinated by the music the dancing everything,1,10,totally fascinated music dancing everything,5
2765,however i recently watched the whole thing again on dvd and i was completely struck by how extremely stupid the storyline was  how it contained holes inconsistencies and  frankly  a whole lot of crap  and how horrid the dancing was  ,0,40,however recently watched whole thing dvd completely struck extremely stupid storyline contained holes inconsistencies frankly whole lot crap horrid dancing,20
2766,i mean in a realistic world she would never have gotten into that ballet repertory the whole thing was quite pathetic,0,21,mean realistic world would never gotten ballet repertory whole thing quite pathetic,12
2767,the character developments also lacked in depth,0,7,character developments also lacked depth,5
2768,woa talk about awful ,0,4,woa talk awful,3
2769,do not waste your time,0,5,waste time,2
2770,it was just too horrible ,0,5,horrible,1
2771,the worst sappiest dialogue i could go on and on,0,10,worst sappiest dialogue could go,5
2772,but what really made it unwatchable was the direction  ,0,9,really made unwatchable direction,4
2773,the poor actors  ,0,3,poor actors,2
2774,you cant even tell if they have any talent because they not only have pathetic lines to speak but the director gave them no action  ,0,25,cant even tell talent pathetic lines speak director gave action,10
2775,if you check the directors filmography on this site you will see why this film didnt have a chance,0,19,check directors filmography site see film didnt chance,8
2776,this would not even be good as a made for tv flick ,0,12,would even good made tv flick,6
2777,if good intentions made a film great then this film might be one of the greatest films ever made,1,19,good intentions made film great film might one greatest films ever made,12
2778,the film has great actors a master director a significant themeat least a wouldbe significant theme undertone of fifties existential worldweariness aerial scenes that ought to have thrilled both senses and imagination and characters about which one might deeply care ,1,40,film great actors master director significant themeat least wouldbe significant theme undertone fifties existential worldweariness aerial scenes ought thrilled senses imagination characters one might deeply care,26
2779,regrettably the film fails ,0,4,regrettably film fails,3
2780,the movie lacks visual interest drama expression of feeling and celebration of the very patriotism that underlines the narrative  ,0,19,movie lacks visual interest drama expression feeling celebration patriotism underlines narrative,11
2781,no actress has been worse used that june allison in this movie ,0,12,actress worse used june allison movie,6
2782,yet i enjoy watching it ,1,5,yet enjoy watching,3
2783,unfortunately this is a bad movie that is just plain bad ,0,11,unfortunately bad movie plain bad,5
2784,bad script bad direction and horrible acting make this one plain bad ,0,12,bad script bad direction horrible acting make one plain bad,10
2785,the dialogue sucked  ,0,3,dialogue sucked,2
2786,the cinematographyif it can be called thatsucked ,0,7,cinematographyif called thatsucked,3
2787,the soundtrack sucked ,0,3,soundtrack sucked,2
2788,the acting sucked ,0,3,acting sucked,2
2789,the concert sequences just sucked ,0,5,concert sequences sucked,3
2790,that was nice ,1,3,nice,1
2791,that was funny ,1,3,funny,1
2792,it was so funny  ,1,4,funny,1
2793,overall this movie was cheap trash ,0,6,overall movie cheap trash,4
2794,but this movie is not funny considering the ridiculousness of it ,0,11,movie funny considering ridiculousness,4
2795,i came out of it feeling angry,0,7,came feeling angry,3
2796,spoilers whatever else can or cant be said about it surface is superbly crafted  ,1,14,spoilers whatever else cant said surface superbly crafted,8
2797,the cinematography is simply stunning to say the least and the fx are nothing if not stateoftheart  ,1,17,cinematography simply stunning say least fx nothing stateoftheart,8
2798,conceptually the show offers a little bit of everything and for just about everybody parents kids fantasy andor fx fans ,1,20,conceptually show offers little bit everything everybody parents kids fantasy andor fx fans,13
2799,and there wasnt a single sour note struck actingwise either some surprisingly solid casting here ,1,15,wasnt single sour note struck actingwise either surprisingly solid casting,10
2800,all things considered a job very well done ,1,8,things considered job well done,5
2801,thanks good a movie like this was done and released ,1,10,thanks good movie like done released,6
2802,one of the best mexican movies ever and one of the less understood even by mexican themselves no matter how identified the should have felt with it ,1,27,one best mexican movies ever one less understood even mexican matter identified felt,13
2803,it ranks highly as a great noircrimedrama incredible performances by belmondo and lino ventura,1,14,ranks highly great noircrimedrama incredible performances belmondo lino ventura,9
2804,the attention given to every character and complex psychological portrayals detailing loyalty treachery love and hope are tremendous ,1,18,attention given every character complex psychological portrayals detailing loyalty treachery love hope tremendous,13
2805,it is an excellent drama an excellent thriller and an excellent film ,1,12,excellent drama excellent thriller excellent film,6
2806,up there with the best of melville ,1,7,best melville,2
2807,everything about this film is simply incredible,1,7,everything film simply incredible,4
2808,you truly take this journey through the eyes and soul of a child,1,13,truly take journey eyes soul child,6
2809,black water is a thriller that manages to completely transcend its limitations its an indie flick by continually subverting expectations to emerge as an intense experience,1,26,black water thriller manages completely transcend limitations indie flick continually subverting expectations emerge intense experience,15
2810,the performances are real and gripping the crocdodile is extremely well done indeed if the black water website is to be believed thats because they used real crocs and the swamp location is fabulous ,1,34,performances real gripping crocdodile extremely well done indeed black water website believed thats used real crocs swamp location fabulous,19
2811,i thoroughly enjoyed it when christopher eccleston took control of the tardis and the continuation of the series,1,18,thoroughly enjoyed christopher eccleston took control tardis continuation series,9
2812,im not sure what he was trying to do with this film  ,0,12,im sure trying film,4
2813,if it was to turn my good day feeling into a night of disturbing memories than i guess he succeeded  ,0,20,turn good day feeling night disturbing memories guess succeeded,9
2814,there is a lot of beautiful places ,1,7,lot beautiful places,3
2815,it was forced like everything in this movie,0,8,forced like everything movie,4
2816,again lame  ,0,2,lame,1
2817,heres where the movie really pied me off  ,0,8,heres movie really pied,4
2818,and dont even get me started on the jerky camerawork  ,0,10,dont even get started jerky camerawork,6
2819,when i saw it in the theater i thought i was going to be sick,0,15,saw theater thought going sick,5
2820,summary the witticisms werent witty ,0,5,summary witticisms werent witty,4
2821,he plot  well i said id let that one go ,0,10,plot well said id let one go,7
2822,the acting was bad ,0,4,acting bad,2
2823,really bad ,0,2,really bad,2
2824,even billy bob couldnt rise above the script which was worse  ,0,11,even billy bob couldnt rise script worse,7
2825,camerawork  again bad,0,3,camerawork bad,2
2826,rating  out of   ,0,3,rating,1
2827,an amazing finale to possibly the best trilogy of all time  ,1,11,amazing finale possibly best trilogy time,6
2828,kieslowski never ceases to amaze me,1,6,kieslowski never ceases amaze,4
2829,he is one of my favourite directors and one of the most talented directors in the history of cinema,1,19,one favourite directors one talented directors history cinema,8
2830,his use of the colours of the french flag in the three films was nothing short of incredible every shot every scene was like a work of art,1,28,use colours french flag three films nothing short incredible every shot every scene like work art,16
2831,three of the most visually appealing movies ive ever seen,1,10,three visually appealing movies ive ever seen,7
2832,and his subtle connections between the three films are awesome  ,1,10,subtle connections three films awesome,5
2833,i have to mention this and it is a huge spoiler i loved the ending how all the characters of the three films were the remaining survivors of the ferry disaster with valentine and the young judge together and the old man watching it on her tv solidifying his happiness over the suffering which he dealt with for those many years,1,61,mention huge spoiler loved ending characters three films remaining survivors ferry disaster valentine young judge together old man watching tv solidifying happiness suffering dealt many years,26
2834,i couldnt think of a better way to end the film but a smile on my face great way to wrap up an amazing film and trilogy,1,27,couldnt think better way end film smile face great way wrap amazing film trilogy,14
2835,i recommend this for everyone who loves film movies anythinga work of art ,1,13,recommend everyone loves film movies anythinga work art,8
2836, out of  for both the movie and trilogy,1,8,movie trilogy,2
2837,i literally vomited while watching this film,0,7,literally vomited watching film,4
2838,i think i was one of the people who found this another one of roths pearls,1,16,think one people found another one roths pearls,8
2839,his performance as awarded was stunning ,1,6,performance awarded stunning,3
2840,the story which was told so eloquently by francis ford coppola  years earlier really unfolds gradually and leaves room for the characters to develop,1,24,story told eloquently francis ford coppola years earlier really unfolds gradually leaves room characters develop,15
2841,in a most wonderful location lies a story of contrast,1,10,wonderful location lies story contrast,5
2842,all in all a beautiful directed film from nicolas roeg wih a sublime cast ,1,14,beautiful directed film nicolas roeg wih sublime cast,8
2843,im translating movies for a living and this is the first movie in my year working experience that i found offensive to my intelligence,0,24,im translating movies living first movie year working experience found offensive intelligence,12
2844,but when someone strives for greatness and poetry but delivers a muddled and often ridiculous story a bunch of disparate scenes pretentious dialogue then you get the worst kind of a movie that some other reviewer very accurately defined as pretentious crap,0,42,someone strives greatness poetry delivers muddled often ridiculous story bunch disparate scenes pretentious dialogue get worst kind movie reviewer accurately defined pretentious crap,23
2845,his performance is simply genius,1,5,performance simply genius,3
2846,i can think of no other film where something vitally important occurs every other minute ,1,15,think film something vitally important occurs every minute,8
2847,in other words the content level of this film is enough to easily fill a dozen other films,1,18,words content level film enough easily fill dozen films,9
2848,how can anyone in their right mind ask for anything more from a movie than this,1,16,anyone right mind ask anything movie,6
2849,its quite simply the highest most superlative form of cinema imaginable,1,11,quite simply highest superlative form cinema imaginable,7
2850,yes this film does require a rather significant amount of puzzlesolving but the pieces fit together to create a beautiful picture,1,21,yes film require rather significant amount puzzlesolving pieces fit together create beautiful picture,13
2851,this short film certainly pulls no punches,0,7,short film certainly pulls punches,5
2852,graphics is far from the best part of the game,0,10,graphics far best part game,5
2853,this is the number one best th game in the series,1,11,number one best th game series,6
2854,it deserves strong love ,1,4,deserves strong love,3
2855,it is an insane game ,1,5,insane game,2
2856,there are massive levels massive unlockable characters its just a massive game,1,12,massive levels massive unlockable characters massive game,7
2857,waste your money on this game,1,6,waste money game,3
2858,this is the kind of money that is wasted properly,1,10,kind money wasted properly,4
2859,actually the graphics were good at the time ,1,8,actually graphics good time,4
2860,today the graphics are crap,0,5,today graphics crap,3
2861,as they say in canada this is the fun game aye,1,11,say canada fun game aye,5
2862,this game rocks,1,3,game rocks,2
2863,buy it play it enjoy it love it,1,8,buy play enjoy love,4
2864,its pure brilliance,1,3,pure brilliance,2
2865,this was a flick doomed from its conception,0,8,flick doomed conception,3
2866,the very idea of it was lame  take a minor character from a mediocre pg film and make a complete nonsequel while changing its tone to a pgrated family movie ,0,30,idea lame take minor character mediocre pg film make complete nonsequel changing tone pgrated family movie,16
2867,i wasnt the least bit interested ,0,6,wasnt least bit interested,4
2868,not only did it only confirm that the film would be unfunny and generic but it also managed to give away the entire movie and im not exaggerating  every moment every plot point every joke is told in the trailer,0,40,confirm film would unfunny generic also managed give away entire movie im exaggerating every moment every plot point every joke told trailer,22
2869,but its just not funny  ,0,5,funny,1
2870,but even the talented carrell cant save this,0,8,even talented carrell cant save,5
2871,his costars dont fare much better with people like morgan freeman jonah hill and ed helms just wasted,0,18,costars dont fare much better people like morgan freeman jonah hill ed helms wasted,14
2872,the story itself is just predictable and lazy,0,8,story predictable lazy,3
2873,the only real effects work is the presence of all the animals and the integration of those into the scenes is some of the worst and most obvious bluegreenscreen work ive ever seen ,0,33,real effects work presence animals integration scenes worst obvious bluegreenscreen work ive ever seen,14
2874,but whatever it was that cost them so much it didnt translate to quality thats for sure,0,17,whatever cost much didnt translate quality thats sure,8
2875,the film succeeds despite or perhaps because of an obviously meagre budget ,1,12,film succeeds despite perhaps obviously meagre budget,7
2876,im glad the film didnt go for the most obvious choice as a lesser film certainly would have,1,18,im glad film didnt go obvious choice lesser film certainly would,11
2877,in addition to having one of the most lovely songs ever written french cancan also boasts one of the cutest leading ladies ever to grace the screen ,1,27,addition one lovely songs ever written french cancan also boasts one cutest leading ladies ever grace screen,17
2878,its hard not to fall headoverheels in love with that girl ,1,11,hard fall headoverheels love girl,5
2879,on the negative its insipid enough to cause regret for another  hours of life wasted in front of the screen,0,20,negative insipid enough cause regret another hours life wasted front screen,11
2880,long whiny and pointless,0,4,long whiny pointless,3
2881,but i recommend waiting for their future efforts let this one go ,0,12,recommend waiting future efforts let one go,7
2882,excellent cast story line performances ,1,5,excellent cast story line performances,5
2883,totally believable ,1,2,totally believable,2
2884,anne heche was utterly convincing,1,5,anne heche utterly convincing,4
2885,sam shepards portrayal of a gung ho marine was sobering,1,10,sam shepards portrayal gung ho marine sobering,7
2886,i sat riveted to the tv screen,1,7,sat riveted tv screen,4
2887,all in all i give this one a resounding  out of ,1,11,give one resounding,3
2888,i do think tom hanks is a good actor ,1,9,think tom hanks good actor,5
2889,i enjoyed reading this book to my children when they were little,1,12,enjoyed reading book children little,5
2890,i was very disappointed in the movie  ,0,7,disappointed movie,2
2891,one character is totally annoying with a voice that gives me the feeling of fingernails on a chalkboard  ,0,18,one character totally annoying voice gives feeling fingernails chalkboard,9
2892,there is a totally unnecessary trainroller coaster scene  ,0,8,totally unnecessary trainroller coaster scene,5
2893,there was absolutely no warmth or charm to these scenes or characters,0,12,absolutely warmth charm scenes characters,5
2894,this movie totally grates on my nerves ,0,7,movie totally grates nerves,4
2895,the performances are not improved by improvisation because the actors now have twice as much to worry about not only whether theyre delivering the line well but whether the line itself is any good,0,34,performances improved improvisation actors twice much worry whether theyre delivering line well whether line good,15
2896,and quite honestly often its not very good,0,8,quite honestly often good,4
2897,often the dialogue doesnt really follow from one line to another or fit the surroundings,0,15,often dialogue doesnt really follow one line another fit surroundings,10
2898,it crackles with an unpredictable youthful energy  but honestly i found it hard to follow and concentrate on it meanders so badly,0,22,crackles unpredictable youthful energy honestly found hard follow concentrate meanders badly,11
2899,there are some generally great things in it  ,1,8,generally great things,3
2900,i wouldnt say theyre worth  hours of your time though,0,10,wouldnt say theyre worth hours time though,7
2901,the suspense builders were good  just cross the line from g to pg ,1,13,suspense builders good cross line g pg,7
2902,i especially liked the noncliche choices with the parents in other movies i could predict the dialog verbatim but the writing in this movie made better selections ,1,27,especially liked noncliche choices parents movies could predict dialog verbatim writing movie made better selections,15
2903,if you want a movie thats not gross but gives you some chills this is a great choice  ,1,18,want movie thats gross gives chills great choice,8
2904,alexander nevsky is a great film ,1,6,alexander nevsky great film,4
2905,he is an amazing film artist one of the most important whoever lived ,1,13,amazing film artist one important whoever lived,7
2906,im glad this pretentious piece of s didnt do as planned by the dodge stratus big shots its gonna help movie makers who arent in the very restrained movie business of québec,0,32,im glad pretentious piece didnt planned dodge stratus big shots gonna help movie makers arent restrained movie business québec,19
2907,he owns the film just as spacek owned coal miners daughter and quaid owned great balls of fire  ,1,18,owns film spacek owned coal miners daughter quaid owned great balls fire,12
2908,call me a nut but i think this is one of the best movies ever ,1,15,call nut think one best movies ever,7
2909,great character actors telly savalas and peter boyle,1,8,great character actors telly savalas peter boyle,7
2910, hour  minutes of sheer tedium melodrama and horrible acting a mess of a script and a sinking feeling of good lord what were they thinking,0,25,hour minutes sheer tedium melodrama horrible acting mess script sinking feeling good lord thinking,14
2911,ots of holes in the script ,0,6,ots holes script,3
2912,its like a bad two hour tv movie,0,8,like bad two hour tv movie,6
2913,now imagine that every single one of those decisions was made wrong ,0,12,imagine every single one decisions made wrong,7
2914,the dialogue is atrocious ,0,4,dialogue atrocious,2
2915,the acting is beyond abysmal,0,5,acting beyond abysmal,3
2916,everything stinks ,0,2,everything stinks,2
2917,trouble is the writing and directing make it impossible to establish those things that make a movie watchable like character story theme and so on  ,0,25,trouble writing directing make impossible establish things make movie watchable like character story theme,14
2918,worse theres an incredibly weak subplot thrown in that follows a little band of latterday mansonites as they go after a reporter whos working on a story on the anniversary of the killings,0,33,worse theres incredibly weak subplot thrown follows little band latterday mansonites go reporter whos working story anniversary killings,18
2919,its dumb and pointless and a complete waste of time  ,0,10,dumb pointless complete waste time,5
2920,in short dont bother with this movie,0,7,short dont bother movie,4
2921,i wont spoil it but the ending in pretty amazing ,1,10,wont spoil ending pretty amazing,5
2922,the best scene in the movie is at the end but i wont spoil it ,1,15,best scene movie end wont spoil,6
2923,if there was ever an indication of a writer and a directors ability to meld two highly volatile temperaments into a seamless union of creativity then this is it ,1,29,ever indication writer directors ability meld two highly volatile temperaments seamless union creativity,13
2924,the result is a powerhouse achievement made more timely now perhaps because of our cultures disturbing fascination with celebrity and its distorted interpretations of fame  ,1,25,result powerhouse achievement made timely perhaps cultures disturbing fascination celebrity distorted interpretations fame,13
2925,a film not easily forgotten  ,1,5,film easily forgotten,3
2926,but kevin spacey is an excellent verbal tsunami as buddy ackerman  and totally believable because he is a great actor  ,1,20,kevin spacey excellent verbal tsunami buddy ackerman totally believable great actor,11
2927,the scripting of the subtle comedy is unmatched by any movie in recent years,1,14,scripting subtle comedy unmatched movie recent years,7
2928,the characters are interesting even if a bit predictable  ,1,9,characters interesting even bit predictable,5
2929,highly recommended for all ages although the younger set will probably not appreciate some of the more subtle references they will certainly appreciate one galley scene in particular ,1,28,highly recommended ages although younger set probably appreciate subtle references certainly appreciate one galley scene particular,16
2930,great movie,1,2,great movie,2
2931,also the story and acting were weak ,0,7,also story acting weak,4
2932,at around  pm i bought it at around pm i started to watch at around pm i fast forwarded the remaining film to see if there was anything left watchable for a human being with a brain but there wasnt,0,40,around pm bought around pm started watch around pm fast forwarded remaining film see anything left watchable human brain wasnt,20
2933,either way it sucks,0,4,either way sucks,3
2934,the script is horrendously stupid ,0,5,script horrendously stupid,3
2935,the story starts too fast with absolutely no suspense or buildup in the slightest ,0,14,story starts fast absolutely suspense buildup slightest,7
2936,everything captain howdy says is either laughable or just plain stupid  ,0,11,everything captain howdy says either laughable plain stupid,8
2937,what the hell kind of crap is that,0,8,hell kind crap,3
2938,then theres the plot holes,0,5,theres plot holes,3
